last_name, first_name,woba,est_woba,est_woba_minus_woba_diff
Springer, George,0.353,0.355,-0.002
Betts, Mookie,0.379,0.345,0.034
Bogaerts, Xander,0.348,0.324,0.024
Altuve, Jose,0.391,0.391,0
Cano, Robinson,0.37,0.355,0.015
Eaton, Adam,0.344,0.342,0.002
Goldschmidt, Paul,0.382,0.367,0.015
Encarnacion, Edwin,0.373,0.383,-0.01
Donaldson, Josh,0.403,0.41,-0.007
Bryant, Kris,0.396,0.388,0.008
Pedroia, Dustin,0.358,0.338,0.02
Arenado, Nolan,0.386,0.347,0.039
Machado, Manny,0.366,0.375,-0.009
Abreu, Jose,0.349,0.355,-0.006
Segura, Jean,0.371,0.36,0.011
Freeman, Freddie,0.401,0.405,-0.004
Dozier, Brian,0.37,0.33,0.04
Kipnis, Jason,0.347,0.348,-0.001
Santana, Carlos,0.37,0.385,-0.015
Seager, Corey,0.372,0.378,-0.006
Longoria, Evan,0.35,0.362,-0.012
Lindor, Francisco,0.34,0.34,0
Markakis, Nick,0.321,0.343,-0.022
Escobar, Alcides,0.278,0.27,0.008
Trout, Mike,0.418,0.43,-0.012
Kinsler, Ian,0.356,0.33,0.026
Cabrera, Miguel,0.398,0.456,-0.058
Villar, Jonathan,0.356,0.331,0.025
Desmond, Ian,0.336,0.327,0.009
Votto, Joey,0.413,0.404,0.009
Rizzo, Anthony,0.391,0.365,0.026
Myers, Wil,0.341,0.337,0.004
Seager, Kyle,0.363,0.38,-0.017
McCutchen, Andrew,0.329,0.35,-0.021
Kemp, Matt,0.333,0.347,-0.014
Jones, Adam,0.318,0.337,-0.019
Calhoun, Kole,0.34,0.353,-0.013
Trumbo, Mark,0.358,0.376,-0.018
Hosmer, Eric,0.326,0.339,-0.013
Cruz, Nelson,0.383,0.401,-0.018
Frazier, Todd,0.326,0.315,0.011
Davis, Chris,0.34,0.351,-0.011
Correa, Carlos,0.349,0.37,-0.021
Yelich, Christian,0.367,0.391,-0.024
Prado, Martin,0.335,0.328,0.007
Herrera, Odubel,0.338,0.315,0.023
Belt, Brandon,0.374,0.385,-0.011
Pujols, Albert,0.331,0.372,-0.041
Piscotty, Stephen,0.345,0.351,-0.006
Schoop, Jonathan,0.32,0.31,0.01
Rendon, Anthony,0.342,0.355,-0.013
Cabrera, Melky,0.342,0.317,0.025
Napoli, Mike,0.343,0.342,0.001
Carter, Chris,0.346,0.368,-0.022
Blackmon, Charlie,0.394,0.366,0.028
Beltre, Adrian,0.371,0.373,-0.002
Span, Denard,0.311,0.329,-0.018
Bradley Jr., Jackie,0.354,0.34,0.014
LeMahieu, DJ,0.391,0.397,-0.006
Gardner, Brett,0.317,0.318,-0.001
Granderson, Curtis,0.339,0.337,0.002
Gonzalez, Adrian,0.334,0.331,0.003
Gonzalez, Carlos,0.361,0.346,0.015
Odor, Rougned,0.336,0.323,0.013
Zobrist, Ben,0.36,0.362,-0.002
Franco, Maikel,0.311,0.325,-0.014
Harper, Bryce,0.343,0.356,-0.013
Suarez, Eugenio,0.316,0.31,0.006
Upton, Justin,0.329,0.342,-0.013
Ortiz, David,0.419,0.427,-0.008
Ellsbury, Jacoby,0.308,0.31,-0.002
Galvis, Freddy,0.284,0.273,0.011
Crawford, Brandon,0.327,0.322,0.005
Turner, Justin,0.353,0.357,-0.004
Hernandez, Cesar,0.335,0.327,0.008
Semien, Marcus,0.315,0.305,0.01
Ramirez, Hanley,0.367,0.357,0.01
Morales, Kendrys,0.339,0.391,-0.052
Ramirez, Jose,0.355,0.335,0.02
Posey, Buster,0.341,0.368,-0.027
Martinez, Victor,0.351,0.365,-0.014
Davis, Khris,0.349,0.37,-0.021
Castro, Starlin,0.313,0.316,-0.003
Ozuna, Marcell,0.33,0.344,-0.014
Duvall, Adam,0.333,0.337,-0.004
Werth, Jayson,0.327,0.341,-0.014
Miller, Brad,0.333,0.324,0.009
Espinosa, Danny,0.294,0.296,-0.002
Russell, Addison,0.316,0.322,-0.006
Gregorius, Didi,0.319,0.278,0.041
Nunez, Eduardo,0.324,0.313,0.011
Lamb, Jake,0.352,0.35,0.002
Beltran, Carlos,0.358,0.325,0.033
Heyward, Jason,0.282,0.311,-0.029
Bruce, Jay,0.34,0.333,0.007
Polanco, Gregory,0.331,0.343,-0.012
Mercer, Jordy,0.303,0.307,-0.004
Pillar, Kevin,0.295,0.295,0
Phillips, Brandon,0.315,0.294,0.021
Murphy, Daniel,0.408,0.406,0.002
Molina, Yadier,0.342,0.342,0
Inciarte, Ender,0.319,0.296,0.023
Martin, Leonys,0.298,0.288,0.01
Mauer, Joe,0.327,0.359,-0.032
Andrus, Elvis,0.344,0.328,0.016
Cabrera, Asdrubal,0.345,0.323,0.022
Mazara, Nomar,0.318,0.326,-0.008
Forsythe, Logan,0.336,0.357,-0.021
Escobar, Yunel,0.327,0.323,0.004
Carpenter, Matt,0.375,0.397,-0.022
Utley, Chase,0.312,0.313,-0.001
Braun, Ryan,0.378,0.358,0.02
Garcia, Adonis,0.308,0.328,-0.02
Tomas, Yasmany,0.345,0.349,-0.004
Saunders, Michael,0.348,0.325,0.023
Fowler, Dexter,0.367,0.36,0.007
Dickerson, Corey,0.319,0.307,0.012
Hechavarria, Adeiny,0.256,0.296,-0.04
Perez, Salvador,0.308,0.293,0.015
Realmuto, J.T.,0.333,0.317,0.016
Lucroy, Jonathan,0.361,0.349,0.012
Tulowitzki, Troy,0.327,0.355,-0.028
Kendrick, Howie,0.303,0.341,-0.038
Pagan, Angel,0.324,0.328,-0.004
Cespedes, Yoenis,0.369,0.373,-0.004
Gennett, Scooter,0.315,0.288,0.027
Upton, B.J.,0.297,0.299,-0.002
Martin, Russell,0.322,0.328,-0.006
Vogt, Stephen,0.305,0.315,-0.01
Alonso, Yonder,0.299,0.324,-0.025
Shaw, Travis,0.31,0.308,0.002
Headley, Chase,0.312,0.312,0
Marte, Starling,0.351,0.338,0.013
Panik, Joe,0.3,0.325,-0.025
Ramos, Wilson,0.361,0.358,0.003
Harrison, Josh,0.301,0.291,0.01
Gonzalez, Marwin,0.298,0.294,0.004
Bautista, Jose,0.355,0.37,-0.015
Martinez, J.D.,0.384,0.399,-0.015
Valencia, Danny,0.342,0.352,-0.01
Iglesias, Jose,0.283,0.289,-0.006
Cuthbert, Cheslor,0.316,0.276,0.04
Cozart, Zack,0.312,0.291,0.021
Ramirez, Alexei,0.264,0.256,0.008
Gordon, Alex,0.303,0.327,-0.024
Moreland, Mitch,0.307,0.337,-0.03
Drury, Brandon,0.335,0.319,0.016
Gattis, Evan,0.345,0.328,0.017
Crisp, Coco,0.301,0.301,0
Davis, Rajai,0.302,0.289,0.013
Sano, Miguel,0.334,0.329,0.005
Freese, David,0.334,0.329,0.005
McCann, Brian,0.326,0.332,-0.006
Orlando, Paulo,0.317,0.315,0.002
Simmons, Andrelton,0.302,0.307,-0.005
Grichuk, Randal,0.325,0.322,0.003
Pederson, Joc,0.36,0.348,0.012
Stanton, Giancarlo,0.344,0.343,0.001
Souza Jr., Steven,0.308,0.308,0
Aoki, Norichika,0.325,0.292,0.033
Zimmerman, Ryan,0.277,0.315,-0.038
Marte, Ketel,0.266,0.266,0
Owings, Chris,0.311,0.307,0.004
Moss, Brandon,0.329,0.339,-0.01
Wieters, Matt,0.307,0.331,-0.024
Hamilton, Billy,0.294,0.275,0.019
Diaz, Aledmys,0.37,0.345,0.025
Aybar, Erick,0.271,0.266,0.005
Walker, Neil,0.351,0.357,-0.006
Norris, Derek,0.252,0.283,-0.031
Castillo, Welington,0.319,0.305,0.014
Grandal, Yasmani,0.35,0.358,-0.008
Gomez, Carlos,0.296,0.288,0.008
Garcia, Avisail,0.302,0.333,-0.031
Baez, Javier,0.316,0.301,0.015
Kepler, Max,0.313,0.295,0.018
Castellanos, Nicholas,0.349,0.386,-0.037
Cron, C.J.,0.337,0.342,-0.005
Solarte, Yangervis,0.345,0.307,0.038
Pence, Hunter,0.348,0.347,0.001
Reynolds, Mark,0.348,0.307,0.041
Reddick, Josh,0.324,0.339,-0.015
Gyorko, Jedd,0.339,0.34,-0.001
Hardy, J.J.,0.307,0.305,0.002
Teixeira, Mark,0.287,0.313,-0.026
Smith, Seth,0.331,0.366,-0.035
Cain, Lorenzo,0.322,0.322,0
Jaso, John,0.335,0.336,-0.001
Travis, Devon,0.337,0.301,0.036
Anderson, Tim,0.315,0.295,0.02
Lind, Adam,0.304,0.33,-0.026
Perez, Hernan,0.312,0.278,0.034
Hill, Aaron,0.313,0.322,-0.009
Holliday, Matt,0.335,0.353,-0.018
Barnhart, Tucker,0.3,0.304,-0.004
Rupp, Cameron,0.321,0.319,0.002
Chisenhall, Lonnie,0.327,0.303,0.024
Rasmus, Colby,0.282,0.315,-0.033
Story, Trevor,0.38,0.37,0.01
Kiermaier, Kevin,0.323,0.319,0.004
Bourn, Michael,0.298,0.285,0.013
Dietrich, Derek,0.348,0.348,0
Peterson, Jace,0.317,0.334,-0.017
Morrison, Logan,0.318,0.345,-0.027
Cervelli, Francisco,0.318,0.329,-0.011
Nieuwenhuis, Kirk,0.313,0.324,-0.011
Maybin, Cameron,0.351,0.314,0.037
Grossman, Robbie,0.363,0.336,0.027
Lawrie, Brett,0.311,0.298,0.013
Bourjos, Peter,0.291,0.263,0.028
Jankowski, Travis,0.292,0.287,0.005
Parra, Gerardo,0.284,0.297,-0.013
Escobar, Eduardo,0.269,0.293,-0.024
Castro, Jason,0.301,0.315,-0.014
Alvarez, Pedro,0.349,0.357,-0.008
Revere, Ben,0.246,0.269,-0.023
Jay, Jon,0.318,0.29,0.028
Suzuki, Kurt,0.303,0.292,0.011
McCann, James,0.273,0.3,-0.027
Fielder, Prince,0.276,0.318,-0.042
Kang, Jung Ho,0.369,0.362,0.007
Lowrie, Jed,0.282,0.289,-0.007
Puig, Yasiel,0.32,0.317,0.003
Giavotella, Johnny,0.285,0.296,-0.011
Loney, James,0.302,0.309,-0.007
Duffy, Matt,0.292,0.317,-0.025
Naquin, Tyler,0.374,0.335,0.039
Suzuki, Ichiro,0.32,0.305,0.015
Howard, Ryan,0.298,0.349,-0.051
Wong, Kolten,0.3,0.306,-0.006
Hicks, Aaron,0.27,0.295,-0.025
Rosario, Eddie,0.304,0.273,0.031
Conforto, Michael,0.312,0.327,-0.015
Joseph, Tommy,0.342,0.346,-0.004
Kim, Hyun Soo,0.352,0.359,-0.007
Gordon, Dee,0.279,0.252,0.027
Guyer, Brandon,0.351,0.333,0.018
Plouffe, Trevor,0.311,0.331,-0.02
Valbuena, Luis,0.351,0.332,0.019
Rodriguez, Sean,0.363,0.344,0.019
Smoak, Justin,0.309,0.33,-0.021
Iannetta, Chris,0.282,0.318,-0.036
Dyson, Jarrod,0.316,0.293,0.023
Flores, Wilmer,0.336,0.312,0.024
Navarro, Dioner,0.258,0.252,0.006
Johnson, Kelly,0.301,0.321,-0.02
Merrifield, Whit,0.309,0.3,0.009
Burns, Billy,0.247,0.254,-0.007
Buxton, Byron,0.304,0.257,0.047
Francoeur, Jeff,0.29,0.278,0.012
Schimpf, Ryan,0.362,0.34,0.022
Adams, Matt,0.33,0.332,-0.002
Flowers, Tyler,0.338,0.346,-0.008
Holt, Brock,0.308,0.312,-0.004
Turner, Trea,0.395,0.366,0.029
Bour, Justin,0.343,0.365,-0.022
Smolinski, Jake,0.284,0.315,-0.031
Saladino, Tyler,0.313,0.287,0.026
