last_name, first_name,woba,est_woba,est_woba_minus_woba_diff
Lee, Dae-Ho,0.318,0.321,-0.003
Hundley, Nick,0.323,0.309,0.014
Peralta, Jhonny,0.308,0.319,-0.011
Marisnick, Jake,0.257,0.266,-0.009
Carrera, Ezequiel,0.301,0.292,0.009
Ahmed, Nick,0.245,0.276,-0.031
Profar, Jurickson,0.295,0.292,0.003
Barney, Darwin,0.303,0.294,0.009
Pearce, Steve,0.371,0.371,0
Coghlan, Chris,0.269,0.286,-0.017
Joyce, Matt,0.375,0.366,0.009
Saltalamacchia, Jarrod,0.277,0.292,-0.015
Perez, Carlos,0.246,0.254,-0.008
Flores, Ramon,0.25,0.271,-0.021
Descalso, Daniel,0.332,0.328,0.004
Dickerson, Alex,0.336,0.345,-0.009
Marte, Jefry,0.335,0.322,0.013
Montero, Miguel,0.299,0.286,0.013
Leon, Sandy,0.362,0.309,0.053
Contreras, Willson,0.363,0.355,0.008
Healy, Ryon,0.364,0.35,0.014
Gutierrez, Franklin,0.336,0.364,-0.028
Rickard, Joey,0.304,0.286,0.018
Schebler, Scott,0.328,0.317,0.011
Santana, Domingo,0.343,0.359,-0.016
Reyes, Jose,0.329,0.302,0.027
Beckham, Gordon,0.281,0.301,-0.02
White, Tyler,0.287,0.296,-0.009
d'Arnaud, Travis,0.279,0.283,-0.004
Butler, Billy,0.324,0.378,-0.054
Blanco, Gregor,0.272,0.28,-0.008
Polanco, Jorge,0.326,0.32,0.006
Rua, Ryan,0.317,0.295,0.022
De Aza, Alejandro,0.276,0.318,-0.042
Gomes, Yan,0.225,0.263,-0.038
Soler, Jorge,0.333,0.33,0.003
Johnson, Chris,0.267,0.305,-0.038
Thompson, Trayce,0.318,0.321,-0.003
d'Arnaud, Chase,0.287,0.277,0.01
Pierzynski, A.J.,0.236,0.274,-0.038
Uribe, Juan,0.256,0.328,-0.072
Garcia, Greg,0.338,0.337,0.001
Casali, Curt,0.268,0.276,-0.008
Raburn, Ryan,0.309,0.283,0.026
Adames, Cristhian,0.274,0.291,-0.017
Peraza, Jose,0.331,0.337,-0.006
Wallace, Brett,0.28,0.306,-0.026
Maldonado, Martin,0.294,0.315,-0.021
Wilson, Bobby,0.27,0.259,0.011
Rosales, Adam,0.34,0.308,0.032
Santana, Danny,0.265,0.292,-0.027
Broxton, Keon,0.343,0.329,0.014
Park, ByungHo,0.294,0.342,-0.048
Hernandez, Enrique,0.27,0.299,-0.029
Rodriguez, Alex,0.258,0.288,-0.03
De Jesus Jr., Ivan,0.277,0.29,-0.013
Shuck, JB,0.24,0.257,-0.017
Gosselin, Phil,0.302,0.307,-0.005
Dahl, David,0.367,0.299,0.068
Taylor, Michael A.,0.283,0.291,-0.008
Goeddel, Tyler,0.244,0.267,-0.023
Ruiz, Carlos,0.321,0.339,-0.018
O'Malley, Shawn,0.276,0.275,0.001
Bandy, Jett,0.289,0.29,-0.001
Wolters, Tony,0.312,0.273,0.039
Sanchez, Gary,0.425,0.399,0.026
Reimold, Nolan,0.292,0.281,0.011
Young, Chris,0.364,0.31,0.054
Altherr, Aaron,0.266,0.288,-0.022
Jennings, Desmond,0.278,0.281,-0.003
Hazelbaker, Jeremy,0.324,0.296,0.028
Robinson, Clint,0.282,0.307,-0.025
Petit, Gregorio,0.282,0.279,0.003
Arcia, Oswaldo,0.277,0.29,-0.013
Morneau, Justin,0.311,0.284,0.027
Asche, Cody,0.279,0.295,-0.016
Bregman, Alex,0.335,0.311,0.024
Arcia, Orlando,0.274,0.257,0.017
Smith, Mallex,0.3,0.276,0.024
Beckham, Tim,0.314,0.278,0.036
Rojas, Miguel,0.265,0.253,0.012
Choo, Shin-Soo,0.334,0.382,-0.048
Blanco, Andres,0.313,0.292,0.021
Avila, Alex,0.329,0.321,0.008
Eibner, Brett,0.268,0.288,-0.02
Holt, Tyler,0.283,0.278,0.005
Rivera, Rene,0.273,0.286,-0.013
Gillaspie, Conor,0.314,0.321,-0.007
Weeks Jr., Rickie,0.335,0.376,-0.041
Ross, David,0.326,0.342,-0.016
Bethancourt, Christian,0.273,0.283,-0.01
Jackson, Austin,0.292,0.336,-0.044
DeShields, Delino,0.261,0.255,0.006
Ortega, Rafael,0.256,0.293,-0.037
Szczur, Matt,0.305,0.307,-0.002
Sardinas, Luis,0.279,0.262,0.017
Ellis, A.J.,0.266,0.31,-0.044
Goins, Ryan,0.232,0.241,-0.009
Mahtook, Mikie,0.229,0.239,-0.01
Romine, Andrew,0.279,0.303,-0.024
Almonte, Abraham,0.294,0.277,0.017
Zunino, Mike,0.338,0.323,0.015
Centeno, Juan,0.306,0.29,0.016
Franklin, Nick,0.331,0.279,0.052
Pennington, Cliff,0.253,0.253,0
Cabrera, Ramon,0.272,0.256,0.016
Perez, Roberto,0.261,0.299,-0.038
Brown, Trevor,0.282,0.248,0.034
Vazquez, Christian,0.257,0.257,0
Pham, Tommy,0.33,0.332,-0.002
Peralta, David,0.308,0.29,0.018
Aviles, Mike,0.236,0.28,-0.044
Vargas, Kennys,0.352,0.33,0.022
Romine, Austin,0.275,0.277,-0.002
Flaherty, Ryan,0.269,0.276,-0.007
Refsnyder, Rob,0.281,0.319,-0.038
Duda, Lucas,0.304,0.354,-0.05
Chirinos, Robinson,0.338,0.31,0.028
Torreyes, Ronald,0.293,0.272,0.021
La Stella, Tommy,0.333,0.336,-0.003
Paredes, Jimmy,0.266,0.281,-0.015
Rollins, Jimmy,0.277,0.264,0.013
Herrmann, Chris,0.358,0.363,-0.005
Drew, Stephen,0.362,0.349,0.013
Wright, David,0.344,0.376,-0.032
Sanchez, Yolmer,0.253,0.28,-0.027
Colon, Christian,0.264,0.253,0.011
Frazier, Adam,0.335,0.327,0.008
Lagares, Juan,0.294,0.311,-0.017
Gimenez, Chris,0.265,0.292,-0.027
Heisey, Chris,0.315,0.299,0.016
Bell, Josh,0.339,0.352,-0.013
Plawecki, Kevin,0.255,0.236,0.019
Parker, Jarrett,0.332,0.328,0.004
Collins, Tyler,0.299,0.292,0.007
Amarista, Alexi,0.248,0.264,-0.016
Mondesi, Adalberto,0.226,0.265,-0.039
Infante, Omar,0.26,0.288,-0.028
Nava, Daniel,0.266,0.308,-0.042
Swanson, Dansby,0.334,0.298,0.036
Tucker, Preston,0.239,0.256,-0.017
Reed, AJ,0.245,0.275,-0.03
Joseph, Caleb,0.188,0.249,-0.061
Castro, Daniel,0.201,0.242,-0.041
Conger, Hank,0.254,0.239,0.015
Gurriel, Yuli,0.292,0.301,-0.009
Thole, Josh,0.22,0.264,-0.044
Kemp, Tony,0.275,0.272,0.003
Presley, Alex,0.247,0.284,-0.037
Fryer, Eric,0.293,0.271,0.022
Butera, Drew,0.345,0.267,0.078
Muncy, Max,0.262,0.315,-0.053
Mathis, Jeff,0.261,0.235,0.026
Choi, Ji-Man,0.267,0.295,-0.028
Holaday, Bryan,0.277,0.269,0.008
Byrd, Marlon,0.328,0.309,0.019
Williamson, Mac,0.317,0.318,-0.001
Maile, Luke,0.26,0.25,0.01
Haniger, Mitch,0.303,0.311,-0.008
Tomlinson, Kelby,0.314,0.335,-0.021
Benintendi, Andrew,0.357,0.299,0.058
Narvaez, Omar,0.304,0.305,-0.001
Almora Jr., Albert,0.325,0.326,-0.001
Toles, Andrew,0.365,0.322,0.043
Lobaton, Jose,0.301,0.346,-0.045
Van Slyke, Scott,0.267,0.345,-0.078
Stewart, Chris,0.271,0.269,0.002
Rivera, T.J.,0.346,0.288,0.058
Moustakas, Mike,0.339,0.368,-0.029
Hanigan, Ryan,0.212,0.218,-0.006
Hernandez, Teoscar,0.308,0.275,0.033
Recker, Anthony,0.361,0.439,-0.078
Robinson, Shane,0.227,0.246,-0.019
Barnes, Brandon,0.247,0.298,-0.051
Heredia, Guillermo,0.303,0.31,-0.007
Martinez, Michael,0.252,0.237,0.015
Wendle, Joey,0.265,0.299,-0.034
Maxwell, Bruce,0.32,0.328,-0.008
Gose, Anthony,0.277,0.254,0.023
Moya, Steven,0.331,0.285,0.046
