last_name, first_name,year,on_base_plus_slg,woba,xwoba,wobadif
Posey, Buster,2017,0.861,0.366,0.355,0.011
Bruce, Jay,2017,0.832,0.35,0.364,-0.014
Votto, Joey,2017,1.032,0.428,0.427,0.001
Gardner, Brett,2017,0.775,0.336,0.344,-0.008
Joyce, Matt,2017,0.808,0.343,0.358,-0.015
Gordon, Alex,2017,0.607,0.269,0.3,-0.031
Andrus, Elvis,2017,0.808,0.344,0.315,0.029
Cabrera, Melky,2017,0.745,0.319,0.341,-0.022
Santana, Carlos,2017,0.818,0.35,0.364,-0.014
Gonzalez, Carlos,2017,0.762,0.327,0.313,0.014
Mercer, Jordy,2017,0.733,0.308,0.311,-0.003
Alonso, Yonder,2017,0.866,0.366,0.37,-0.004
Smoak, Justin,2017,0.883,0.371,0.393,-0.022
Zimmerman, Ryan,2017,0.93,0.388,0.388,0
Lowrie, Jed,2017,0.808,0.347,0.372,-0.025
Morrison, Logan,2017,0.868,0.363,0.372,-0.009
Gurriel, Yuli,2017,0.817,0.345,0.333,0.012
Solarte, Yangervis,2017,0.731,0.311,0.307,0.004
Freese, David,2017,0.739,0.326,0.344,-0.018
Davis, Khris,2017,0.864,0.361,0.395,-0.034
Pham, Tommy,2017,0.93,0.398,0.39,0.008
Reddick, Josh,2017,0.842,0.357,0.348,0.009
Murphy, Daniel,2017,0.928,0.385,0.367,0.018
Goldschmidt, Paul,2017,0.966,0.4,0.404,-0.004
Gonzalez, Marwin,2017,0.904,0.381,0.333,0.048
Altuve, Jose,2017,0.957,0.405,0.376,0.029
Hernandez, Cesar,2017,0.793,0.346,0.348,-0.002
Segura, Jean,2017,0.776,0.334,0.327,0.007
Freeman, Freddie,2017,0.989,0.407,0.409,-0.002
LeMahieu, DJ,2017,0.781,0.342,0.349,-0.007
Moreland, Mitch,2017,0.769,0.326,0.374,-0.048
Moustakas, Mike,2017,0.835,0.345,0.341,0.004
Rizzo, Anthony,2017,0.899,0.38,0.394,-0.014
Souza Jr., Steven,2017,0.809,0.348,0.351,-0.003
Stanton, Giancarlo,2017,1.007,0.411,0.401,0.01
Thames, Eric,2017,0.877,0.37,0.343,0.027
Galvis, Freddy,2017,0.689,0.298,0.305,-0.007
Garcia, Avisail,2017,0.885,0.375,0.378,-0.003
Inciarte, Ender,2017,0.758,0.328,0.297,0.031
Ozuna, Marcell,2017,0.924,0.388,0.372,0.016
Beckham, Tim,2017,0.781,0.334,0.334,0
Crawford, Brandon,2017,0.709,0.301,0.31,-0.009
Harrison, Josh,2017,0.77,0.332,0.324,0.008
Hosmer, Eric,2017,0.882,0.376,0.364,0.012
Rendon, Anthony,2017,0.937,0.394,0.382,0.012
Shaw, Travis,2017,0.861,0.361,0.333,0.028
Springer, George,2017,0.888,0.376,0.393,-0.017
Gordon, Dee,2017,0.715,0.312,0.287,0.025
Gregorius, Didi,2017,0.795,0.335,0.298,0.037
Trout, Mike,2017,1.071,0.437,0.43,0.007
Herrera, Odubel,2017,0.778,0.329,0.319,0.01
Abreu, Jose,2017,0.906,0.377,0.371,0.006
Suarez, Eugenio,2017,0.828,0.356,0.358,-0.002
Santana, Domingo,2017,0.875,0.372,0.369,0.003
Sanchez, Yolmer,2017,0.728,0.313,0.292,0.021
Schoop, Jonathan,2017,0.841,0.355,0.336,0.019
Arenado, Nolan,2017,0.958,0.395,0.371,0.024
Hamilton, Billy,2017,0.632,0.278,0.261,0.017
Joseph, Tommy,2017,0.721,0.305,0.305,0
Lamb, Jake,2017,0.844,0.353,0.358,-0.005
Myers, Wil,2017,0.792,0.335,0.333,0.002
Seager, Kyle,2017,0.773,0.327,0.353,-0.026
Carpenter, Matt,2017,0.833,0.361,0.383,-0.022
Dickerson, Corey,2017,0.814,0.341,0.324,0.017
Dozier, Brian,2017,0.856,0.362,0.354,0.008
Bryant, Kris,2017,0.946,0.399,0.386,0.013
Castellanos, Nicholas,2017,0.811,0.341,0.379,-0.038
Gamel, Ben,2017,0.734,0.315,0.303,0.012
Healy, Ryon,2017,0.754,0.32,0.319,0.001
Judge, Aaron,2017,1.049,0.43,0.446,-0.016
Machado, Manny,2017,0.782,0.328,0.371,-0.043
Realmuto, J.T.,2017,0.783,0.332,0.341,-0.009
Rosario, Eddie,2017,0.833,0.349,0.335,0.014
Simmons, Andrelton,2017,0.752,0.323,0.315,0.008
Yelich, Christian,2017,0.807,0.348,0.364,-0.016
Merrifield, Whit,2017,0.784,0.332,0.341,-0.009
Bogaerts, Xander,2017,0.746,0.322,0.305,0.017
Polanco, Jorge,2017,0.719,0.309,0.306,0.003
Calhoun, Kole,2017,0.725,0.315,0.33,-0.015
Duvall, Adam,2017,0.782,0.327,0.308,0.019
Schebler, Scott,2017,0.791,0.33,0.356,-0.026
Baez, Javier,2017,0.793,0.326,0.306,0.02
Lindor, Francisco,2017,0.84,0.353,0.372,-0.019
Odor, Rougned,2017,0.649,0.272,0.296,-0.024
Story, Trevor,2017,0.765,0.323,0.301,0.022
Sanchez, Gary,2017,0.876,0.368,0.389,-0.021
Kepler, Max,2017,0.736,0.315,0.305,0.01
Franco, Maikel,2017,0.69,0.292,0.314,-0.022
Bradley Jr., Jackie,2017,0.726,0.313,0.33,-0.017
Bell, Josh,2017,0.8,0.338,0.34,-0.002
Betts, Mookie,2017,0.803,0.339,0.348,-0.009
Panik, Joe,2017,0.766,0.329,0.315,0.014
Arcia, Orlando,2017,0.73,0.309,0.292,0.017
Peraza, Jose,2017,0.62,0.273,0.314,-0.041
Pillar, Kevin,2017,0.703,0.302,0.313,-0.011
Ramirez, Jose,2017,0.957,0.397,0.363,0.034
Bregman, Alex,2017,0.826,0.351,0.352,-0.001
Gallo, Joey,2017,0.869,0.364,0.378,-0.014
Seager, Corey,2017,0.854,0.364,0.387,-0.023
Mazara, Nomar,2017,0.745,0.318,0.322,-0.004
Swanson, Dansby,2017,0.636,0.276,0.297,-0.021
Taylor, Chris,2017,0.85,0.361,0.354,0.007
Buxton, Byron,2017,0.725,0.312,0.309,0.003
Margot, Manuel,2017,0.721,0.309,0.308,0.001
Puig, Yasiel,2017,0.833,0.349,0.366,-0.017
Anderson, Tim,2017,0.678,0.289,0.286,0.003
Bellinger, Cody,2017,0.933,0.38,0.364,0.016
Mancini, Trey,2017,0.826,0.349,0.347,0.002
Benintendi, Andrew,2017,0.775,0.332,0.344,-0.012
Hunter, Torii,2015,0.702,0.304,0.291,0.013
Ortiz, David,2015,0.913,0.379,0.416,-0.037
Rodriguez, Alex,2015,0.842,0.361,0.363,-0.002
Ramirez, Aramis,2015,0.72,0.309,0.307,0.002
Beltre, Adrian,2015,0.788,0.337,0.364,-0.027
Beltran, Carlos,2015,0.808,0.346,0.347,-0.001
Rollins, Jimmy,2015,0.642,0.283,0.279,0.004
Pujols, Albert,2015,0.787,0.333,0.347,-0.014
Byrd, Marlon,2015,0.743,0.317,0.309,0.008
Mauer, Joe,2015,0.718,0.31,0.34,-0.03
Cabrera, Miguel,2015,0.974,0.413,0.431,-0.018
Gonzalez, Adrian,2015,0.83,0.354,0.365,-0.011
Phillips, Brandon,2015,0.722,0.315,0.316,-0.001
Reyes, Jose,2015,0.683,0.3,0.272,0.028
Peralta, Jhonny,2015,0.745,0.322,0.331,-0.009
Choo, Shin-Soo,2015,0.837,0.365,0.359,0.006
Molina, Yadier,2015,0.66,0.287,0.281,0.006
Fielder, Prince,2015,0.841,0.36,0.349,0.011
Cano, Robinson,2015,0.779,0.335,0.352,-0.017
Encarnacion, Edwin,2015,0.929,0.391,0.387,0.004
Howard, Ryan,2015,0.72,0.308,0.354,-0.046
Bautista, Jose,2015,0.913,0.388,0.384,0.004
Jones, Adam,2015,0.782,0.334,0.347,-0.013
Aybar, Erick,2015,0.636,0.28,0.303,-0.023
Martin, Russell,2015,0.787,0.34,0.333,0.007
Granderson, Curtis,2015,0.821,0.357,0.363,-0.006
Pagan, Angel,2015,0.635,0.28,0.291,-0.011
Morales, Kendrys,2015,0.847,0.364,0.372,-0.008
Kinsler, Ian,2015,0.77,0.334,0.315,0.019
McCann, Brian,2015,0.756,0.327,0.309,0.018
Walker, Neil,2015,0.756,0.325,0.317,0.008
Desmond, Ian,2015,0.671,0.294,0.295,-0.001
Cruz, Nelson,2015,0.936,0.396,0.379,0.017
Trumbo, Mark,2015,0.759,0.327,0.324,0.003
Peralta, David,2015,0.893,0.38,0.353,0.027
Escobar, Alcides,2015,0.609,0.27,0.287,-0.017
Prado, Martin,2015,0.732,0.317,0.323,-0.006
Duda, Lucas,2015,0.838,0.359,0.368,-0.009
Longoria, Evan,2015,0.764,0.326,0.336,-0.01
Davis, Chris,2015,0.923,0.39,0.398,-0.008
Zobrist, Ben,2015,0.809,0.349,0.331,0.018
Fowler, Dexter,2015,0.756,0.333,0.307,0.026
Headley, Chase,2015,0.693,0.306,0.325,-0.019
Lind, Adam,2015,0.82,0.35,0.326,0.024
Cabrera, Asdrubal,2015,0.744,0.319,0.296,0.023
Tulowitzki, Troy,2015,0.777,0.335,0.316,0.019
Blackmon, Charlie,2015,0.794,0.345,0.319,0.026
Frazier, Todd,2015,0.806,0.342,0.335,0.007
Markakis, Nick,2015,0.746,0.327,0.31,0.017
Butler, Billy,2015,0.713,0.311,0.333,-0.022
Cain, Lorenzo,2015,0.838,0.36,0.37,-0.01
McCutchen, Andrew,2015,0.889,0.38,0.398,-0.018
Jackson, Austin,2015,0.694,0.305,0.311,-0.006
Upton, Justin,2015,0.789,0.34,0.339,0.001
Maybin, Cameron,2015,0.696,0.307,0.321,-0.014
Posey, Buster,2015,0.849,0.363,0.374,-0.011
Bruce, Jay,2015,0.729,0.309,0.326,-0.017
Votto, Joey,2015,1,0.427,0.421,0.006
Coghlan, Chris,2015,0.783,0.337,0.326,0.011
Gardner, Brett,2015,0.738,0.327,0.336,-0.009
Braun, Ryan,2015,0.854,0.366,0.379,-0.013
Moss, Brandon,2015,0.711,0.308,0.343,-0.035
Kemp, Matt,2015,0.755,0.325,0.34,-0.015
Plouffe, Trevor,2015,0.742,0.321,0.331,-0.01
Andrus, Elvis,2015,0.663,0.292,0.294,-0.002
Cervelli, Francisco,2015,0.768,0.341,0.327,0.014
Cabrera, Melky,2015,0.708,0.306,0.311,-0.005
Sandoval, Pablo,2015,0.657,0.288,0.28,0.008
Ramos, Wilson,2015,0.616,0.264,0.302,-0.038
Santana, Carlos,2015,0.752,0.33,0.342,-0.012
Parra, Gerardo,2015,0.778,0.334,0.32,0.014
Gonzalez, Carlos,2015,0.864,0.363,0.336,0.027
Belt, Brandon,2015,0.834,0.359,0.364,-0.005
Brantley, Michael,2015,0.859,0.368,0.346,0.022
Escobar, Yunel,2015,0.789,0.349,0.344,0.005
Morrison, Logan,2015,0.684,0.298,0.334,-0.036
Cespedes, Yoenis,2015,0.87,0.367,0.377,-0.01
Ramirez, Alexei,2015,0.641,0.279,0.28,-0.001
Solarte, Yangervis,2015,0.746,0.324,0.301,0.023
Martinez, J.D.,2015,0.879,0.372,0.388,-0.016
Reddick, Josh,2015,0.779,0.338,0.337,0.001
Murphy, Daniel,2015,0.77,0.325,0.339,-0.014
Goldschmidt, Paul,2015,1.004,0.417,0.4,0.017
Altuve, Jose,2015,0.81,0.347,0.305,0.042
Segura, Jean,2015,0.615,0.268,0.267,0.001
Castro, Starlin,2015,0.671,0.288,0.287,0.001
Marte, Starling,2015,0.779,0.337,0.35,-0.013
Donaldson, Josh,2015,0.938,0.397,0.391,0.006
Heyward, Jason,2015,0.796,0.345,0.327,0.018
LeMahieu, DJ,2015,0.745,0.327,0.324,0.003
Moreland, Mitch,2015,0.812,0.348,0.361,-0.013
Moustakas, Mike,2015,0.815,0.353,0.342,0.011
Norris, Derek,2015,0.709,0.309,0.273,0.036
Revere, Ben,2015,0.716,0.315,0.307,0.008
Rizzo, Anthony,2015,0.899,0.384,0.38,0.004
Vogt, Stephen,2015,0.783,0.335,0.322,0.013
Galvis, Freddy,2015,0.642,0.283,0.279,0.004
Perez, Salvador,2015,0.706,0.3,0.303,-0.003
Forsythe, Logan,2015,0.804,0.349,0.322,0.027
Flores, Wilmer,2015,0.702,0.303,0.28,0.023
Garcia, Avisail,2015,0.675,0.295,0.32,-0.025
Inciarte, Ender,2015,0.745,0.325,0.297,0.028
Burns, Billy,2015,0.726,0.317,0.263,0.054
Crawford, Brandon,2015,0.782,0.332,0.344,-0.012
Giavotella, Johnny,2015,0.688,0.303,0.293,0.01
Gose, Anthony,2015,0.687,0.304,0.284,0.02
Hosmer, Eric,2015,0.822,0.354,0.366,-0.012
Kipnis, Jason,2015,0.821,0.355,0.358,-0.003
Lawrie, Brett,2015,0.705,0.305,0.302,0.003
Semien, Marcus,2015,0.714,0.311,0.306,0.005
Gordon, Dee,2015,0.773,0.337,0.291,0.046
Wong, Kolten,2015,0.707,0.309,0.313,-0.004
Gregorius, Didi,2015,0.686,0.303,0.292,0.011
Trout, Mike,2015,0.991,0.415,0.423,-0.008
Herrera, Odubel,2015,0.759,0.333,0.304,0.029
Harper, Bryce,2015,1.109,0.461,0.417,0.044
Abreu, Jose,2015,0.85,0.361,0.341,0.02
Polanco, Gregory,2015,0.7,0.304,0.319,-0.015
Arenado, Nolan,2015,0.898,0.371,0.338,0.033
Holt, Brock,2015,0.725,0.321,0.303,0.018
Owings, Chris,2015,0.583,0.255,0.267,-0.012
Pollock, A.J.,2015,0.865,0.371,0.36,0.011
Seager, Kyle,2015,0.779,0.334,0.355,-0.021
Taylor, Michael A.,2015,0.64,0.274,0.293,-0.019
Carpenter, Matt,2015,0.871,0.372,0.384,-0.012
Dozier, Brian,2015,0.751,0.323,0.302,0.021
Bryant, Kris,2015,0.858,0.371,0.353,0.018
Castellanos, Nicholas,2015,0.721,0.311,0.322,-0.011
Machado, Manny,2015,0.86,0.37,0.354,0.016
Pederson, Joc,2015,0.762,0.335,0.345,-0.01
Simmons, Andrelton,2015,0.659,0.29,0.31,-0.02
Yelich, Christian,2015,0.782,0.343,0.356,-0.013
Bogaerts, Xander,2015,0.774,0.338,0.311,0.027
Calhoun, Kole,2015,0.73,0.317,0.311,0.006
Eaton, Adam,2015,0.79,0.346,0.312,0.034
Gattis, Evan,2015,0.748,0.317,0.301,0.016
Kiermaier, Kevin,2015,0.717,0.309,0.308,0.001
Betts, Mookie,2015,0.819,0.351,0.342,0.009
Peterson, Jace,2015,0.645,0.287,0.304,-0.017
Pillar, Kevin,2015,0.711,0.31,0.297,0.013
Russell, Addison,2015,0.695,0.304,0.272,0.032
Duffy, Matt,2015,0.761,0.331,0.336,-0.005
