last_name, first_name,year,on_base_plus_slg,woba,xwoba,wobadif
Anderson, Brian,2018,0.757,0.333,0.334,-0.001
Bell, Josh,2018,0.768,0.336,0.34,-0.004
Betts, Mookie,2018,1.078,0.449,0.433,0.016
Smith, Mallex,2018,0.768,0.34,0.311,0.029
Hernandez, Teoscar,2018,0.771,0.328,0.34,-0.012
Peraza, Jose,2018,0.738,0.319,0.309,0.01
Marte, Ketel,2018,0.768,0.33,0.32,0.01
Nimmo, Brandon,2018,0.886,0.385,0.352,0.033
Turner, Trea,2018,0.759,0.331,0.337,-0.006
Pillar, Kevin,2018,0.708,0.302,0.32,-0.018
Ramirez, Jose,2018,0.939,0.392,0.366,0.026
Bregman, Alex,2018,0.926,0.396,0.371,0.025
Gallo, Joey,2018,0.81,0.343,0.369,-0.026
Mazara, Nomar,2018,0.753,0.324,0.339,-0.015
Andujar, Miguel,2018,0.855,0.361,0.326,0.035
Swanson, Dansby,2018,0.696,0.293,0.278,0.015
Taylor, Chris,2018,0.775,0.335,0.327,0.008
Wendle, Joey,2018,0.788,0.338,0.306,0.032
Olson, Matt,2018,0.788,0.34,0.355,-0.015
Duffy, Matt,2018,0.727,0.323,0.314,0.009
Margot, Manuel,2018,0.675,0.288,0.294,-0.006
Camargo, Johan,2018,0.806,0.346,0.31,0.036
Conforto, Michael,2018,0.797,0.342,0.339,0.003
Anderson, Tim,2018,0.686,0.294,0.274,0.02
Bellinger, Cody,2018,0.814,0.345,0.328,0.017
Mancini, Trey,2018,0.715,0.308,0.332,-0.024
Rosario, Amed,2018,0.675,0.29,0.291,-0.001
Benintendi, Andrew,2018,0.829,0.357,0.357,0
Albies, Ozzie,2018,0.756,0.324,0.303,0.021
Chapman, Matt,2018,0.864,0.369,0.339,0.03
Hoskins, Rhys,2018,0.849,0.364,0.352,0.012
Schwarber, Kyle,2018,0.822,0.343,0.35,-0.007
Moncada, Yoan,2018,0.714,0.311,0.302,0.009
