last_name, first_name,woba,est_woba,est_woba_minus_woba_diff
Rollins, Jimmy,0.283,0.279,0.004
Crawford, Brandon,0.332,0.344,-0.012
Inciarte, Ender,0.325,0.297,0.028
Norris, Derek,0.309,0.273,0.036
Belt, Brandon,0.359,0.364,-0.005
Maybin, Cameron,0.307,0.321,-0.014
Burns, Billy,0.317,0.263,0.054
Duda, Lucas,0.359,0.368,-0.009
Perez, Salvador,0.3,0.303,-0.003
Owings, Chris,0.255,0.267,-0.012
Cabrera, Asdrubal,0.319,0.296,0.023
Prado, Martin,0.317,0.323,-0.006
Pagan, Angel,0.28,0.291,-0.011
Trumbo, Mark,0.327,0.324,0.003
Byrd, Marlon,0.317,0.309,0.008
Murphy, Daniel,0.325,0.339,-0.014
Herrera, Odubel,0.333,0.304,0.029
Kiermaier, Kevin,0.309,0.308,0.001
Gose, Anthony,0.304,0.284,0.02
Zobrist, Ben,0.349,0.331,0.018
McCann, Brian,0.327,0.309,0.018
Tulowitzki, Troy,0.335,0.316,0.019
Beltran, Carlos,0.346,0.347,-0.001
Molina, Yadier,0.287,0.281,0.006
Jackson, Austin,0.305,0.311,-0.006
Moss, Brandon,0.308,0.343,-0.035
Yelich, Christian,0.343,0.356,-0.013
Russell, Addison,0.304,0.272,0.032
Reyes, Jose,0.3,0.272,0.028
Peralta, David,0.38,0.353,0.027
Ramirez, Aramis,0.309,0.307,0.002
Moreland, Mitch,0.348,0.361,-0.013
Vogt, Stephen,0.335,0.322,0.013
Morrison, Logan,0.298,0.334,-0.036
Taylor, Michael A.,0.274,0.293,-0.019
Cabrera, Miguel,0.413,0.431,-0.018
Flores, Wilmer,0.303,0.28,0.023
Cervelli, Francisco,0.341,0.327,0.014
Holt, Brock,0.321,0.303,0.018
Martin, Russell,0.34,0.333,0.007
Sandoval, Pablo,0.288,0.28,0.008
Ramos, Wilson,0.264,0.302,-0.038
Coghlan, Chris,0.337,0.326,0.011
Howard, Ryan,0.308,0.354,-0.046
Giavotella, Johnny,0.303,0.293,0.01
Ellsbury, Jacoby,0.294,0.311,-0.017
Hechavarria, Adeiny,0.297,0.291,0.006
Miller, Brad,0.319,0.328,-0.009
Kendrick, Howie,0.325,0.334,-0.009
Ozuna, Marcell,0.302,0.324,-0.022
Valbuena, Luis,0.325,0.336,-0.011
DeShields, Delino,0.317,0.303,0.014
Alvarez, Pedro,0.333,0.336,-0.003
Canha, Mark,0.322,0.315,0.007
Martinez, Victor,0.286,0.328,-0.042
Rasmus, Colby,0.339,0.31,0.029
LaRoche, Adam,0.283,0.297,-0.014
Bourn, Michael,0.269,0.282,-0.013
Freeman, Freddie,0.364,0.416,-0.052
Suzuki, Kurt,0.269,0.287,-0.018
Gomez, Carlos,0.315,0.32,-0.005
Rosario, Eddie,0.315,0.274,0.041
Odor, Rougned,0.334,0.301,0.033
Freese, David,0.325,0.329,-0.004
Napoli, Mike,0.321,0.315,0.006
Kang, Jung Ho,0.356,0.361,-0.005
Realmuto, J.T.,0.298,0.324,-0.026
Lagares, Juan,0.28,0.288,-0.008
Teixeira, Mark,0.381,0.369,0.012
Carter, Chris,0.319,0.327,-0.008
Ahmed, Nick,0.276,0.261,0.015
Gyorko, Jedd,0.301,0.298,0.003
Asche, Cody,0.298,0.303,-0.005
Infante, Omar,0.237,0.254,-0.017
Iglesias, Jose,0.315,0.282,0.033
Hamilton, Billy,0.251,0.267,-0.016
Smith, Seth,0.331,0.339,-0.008
Hernandez, Cesar,0.306,0.303,0.003
Springer, George,0.36,0.363,-0.003
Harrison, Josh,0.313,0.299,0.014
Escobar, Eduardo,0.323,0.308,0.015
Bour, Justin,0.342,0.32,0.022
Ethier, Andre,0.366,0.366,0
Davis, Khris,0.353,0.339,0.014
Turner, Justin,0.371,0.374,-0.003
Lindor, Francisco,0.358,0.33,0.028
Suzuki, Ichiro,0.25,0.264,-0.014
Hardy, J.J.,0.248,0.253,-0.005
Pierzynski, A.J.,0.333,0.323,0.01
Reynolds, Mark,0.311,0.286,0.025
Panik, Joe,0.362,0.337,0.025
Correa, Carlos,0.365,0.358,0.007
Ramirez, Hanley,0.308,0.315,-0.007
Mercer, Jordy,0.265,0.3,-0.035
Goins, Ryan,0.297,0.291,0.006
Drew, Stephen,0.284,0.268,0.016
Souza Jr., Steven,0.316,0.302,0.014
Grandal, Yasmani,0.335,0.337,-0.002
Tomas, Yasmany,0.307,0.286,0.021
McCann, James,0.297,0.292,0.005
Pedroia, Dustin,0.347,0.31,0.037
Utley, Chase,0.274,0.307,-0.033
Gordon, Alex,0.351,0.342,0.009
Sanchez, Yolmer,0.262,0.263,-0.001
Lucroy, Jonathan,0.313,0.337,-0.024
Espinosa, Danny,0.309,0.272,0.037
Rios, Alex,0.279,0.291,-0.012
Cuddyer, Michael,0.306,0.306,0
Tejada, Ruben,0.303,0.318,-0.015
Cron, C.J.,0.318,0.317,0.001
Soler, Jorge,0.312,0.322,-0.01
Montero, Miguel,0.328,0.33,-0.002
Alonso, Yonder,0.327,0.333,-0.006
Sogard, Eric,0.265,0.284,-0.019
Suarez, Eugenio,0.328,0.287,0.041
Uribe, Juan,0.319,0.306,0.013
Aoki, Norichika,0.325,0.302,0.023
Murphy, David,0.318,0.3,0.018
Gennett, Scooter,0.289,0.267,0.022
Lamb, Jake,0.312,0.317,-0.005
Venable, Will,0.295,0.283,0.012
Zimmerman, Ryan,0.329,0.371,-0.042
Hicks, Aaron,0.314,0.338,-0.024
Gomes, Yan,0.283,0.301,-0.018
Hundley, Nick,0.348,0.288,0.06
Loney, James,0.294,0.29,0.004
Zunino, Mike,0.235,0.255,-0.02
Guyer, Brandon,0.342,0.315,0.027
Paredes, Jimmy,0.314,0.286,0.028
Valencia, Danny,0.367,0.353,0.014
Castillo, Welington,0.321,0.334,-0.013
Werth, Jayson,0.3,0.325,-0.025
Castro, Jason,0.284,0.282,0.002
Marisnick, Jake,0.288,0.277,0.011
Blanco, Gregor,0.337,0.329,0.008
Davis, Rajai,0.32,0.295,0.025
Gonzalez, Marwin,0.329,0.295,0.034
Pena, Brayan,0.294,0.282,0.012
De Aza, Alejandro,0.326,0.303,0.023
Chisenhall, Lonnie,0.288,0.29,-0.002
Flowers, Tyler,0.288,0.274,0.014
Colabello, Chris,0.381,0.334,0.047
Amarista, Alexi,0.236,0.246,-0.01
Young, Chris,0.332,0.294,0.038
Joseph, Caleb,0.301,0.317,-0.016
Rendon, Anthony,0.315,0.335,-0.02
Ramirez, Jose,0.28,0.291,-0.011
Paulsen, Ben,0.338,0.311,0.027
Hill, Aaron,0.281,0.297,-0.016
Robinson, Clint,0.34,0.351,-0.011
Grichuk, Randal,0.37,0.345,0.025
Spangenberg, Cory,0.319,0.311,0.008
Francoeur, Jeff,0.308,0.29,0.018
Sano, Miguel,0.392,0.386,0.006
Franco, Maikel,0.36,0.335,0.025
Johnson, Kelly,0.323,0.306,0.017
Smoak, Justin,0.33,0.345,-0.015
Fuld, Sam,0.255,0.263,-0.008
Pearce, Steve,0.308,0.288,0.02
Tucker, Preston,0.318,0.315,0.003
Schoop, Jonathan,0.338,0.33,0.008
Ruiz, Carlos,0.259,0.292,-0.033
Rivera, Rene,0.215,0.243,-0.028
Stanton, Giancarlo,0.394,0.402,-0.008
Iannetta, Chris,0.281,0.288,-0.007
DeJesus, David,0.278,0.297,-0.019
Aviles, Mike,0.266,0.289,-0.023
Puig, Yasiel,0.328,0.328,0
Martin, Leonys,0.254,0.256,-0.002
Swihart, Blake,0.312,0.293,0.019
Flaherty, Ryan,0.278,0.274,0.004
Rupp, Cameron,0.291,0.298,-0.007
Ruf, Darin,0.31,0.334,-0.024
Sizemore, Grady,0.302,0.316,-0.014
Dietrich, Derek,0.346,0.335,0.011
Castillo, Rusney,0.283,0.266,0.017
Urshela, Gio,0.27,0.3,-0.03
Joyce, Matt,0.255,0.276,-0.021
Perez, Carlos,0.284,0.281,0.003
Wieters, Matt,0.321,0.314,0.007
Barnes, Brandon,0.287,0.277,0.01
Herrera, Elian,0.296,0.282,0.014
Santana, Danny,0.231,0.224,0.007
Holliday, Matt,0.351,0.349,0.002
Butler, Joey,0.325,0.295,0.03
Span, Denard,0.348,0.364,-0.016
Maxwell, Justin,0.271,0.294,-0.023
Barnhart, Tucker,0.284,0.278,0.006
Chirinos, Robinson,0.332,0.32,0.012
Schwarber, Kyle,0.364,0.364,0
Perez, Hernan,0.251,0.265,-0.014
Middlebrooks, Will,0.259,0.294,-0.035
Schumaker, Skip,0.282,0.299,-0.017
d'Arnaud, Travis,0.355,0.321,0.034
Snider, Travis,0.293,0.29,0.003
Ackley, Dustin,0.305,0.323,-0.018
Lowrie, Jed,0.305,0.306,-0.001
Gomes, Jonny,0.294,0.267,0.027
Callaspo, Alberto,0.27,0.281,-0.011
Blanco, Andres,0.372,0.33,0.042
Swisher, Nick,0.285,0.278,0.007
Almonte, Abraham,0.312,0.33,-0.018
Plawecki, Kevin,0.251,0.277,-0.026
McGehee, Casey,0.243,0.277,-0.034
Maldonado, Martin,0.254,0.24,0.014
Piscotty, Stephen,0.364,0.368,-0.004
Morse, Michael,0.291,0.321,-0.03
Bradley Jr., Jackie,0.355,0.302,0.053
Johnson, Chris,0.274,0.301,-0.027
Saladino, Tyler,0.264,0.287,-0.023
Gillaspie, Conor,0.269,0.264,0.005
Van Slyke, Scott,0.305,0.295,0.01
Myers, Wil,0.334,0.336,-0.002
Orlando, Paulo,0.303,0.308,-0.005
Pennington, Cliff,0.26,0.293,-0.033
Shaw, Travis,0.348,0.332,0.016
Marte, Ketel,0.33,0.298,0.032
Jay, Jon,0.253,0.286,-0.033
Phegley, Josh,0.323,0.287,0.036
Rosario, Wilin,0.303,0.276,0.027
Rodriguez, Sean,0.281,0.272,0.009
Travis, Devon,0.369,0.378,-0.009
Davis, Ike,0.288,0.317,-0.029
Beckham, Gordon,0.267,0.27,-0.003
Dickerson, Corey,0.371,0.364,0.007
Denorfia, Chris,0.302,0.312,-0.01
Guerrero, Alex,0.297,0.292,0.005
Conger, Hank,0.328,0.291,0.037
Upton, B.J.,0.326,0.317,0.009
Saltalamacchia, Jarrod,0.324,0.343,-0.019
Peterson, Shane,0.298,0.302,-0.004
Perez, Roberto,0.331,0.325,0.006
Dyson, Jarrod,0.302,0.295,0.007
Bourjos, Peter,0.271,0.266,0.005
Barmes, Clint,0.275,0.241,0.034
Beckham, Tim,0.3,0.288,0.012
Pence, Hunter,0.347,0.351,-0.004
De Jesus Jr., Ivan,0.301,0.3,0.001
Avila, Alex,0.294,0.359,-0.065
Hernandez, Enrique,0.358,0.317,0.041
Ellis, A.J.,0.336,0.348,-0.012
Jaso, John,0.364,0.391,-0.027
Cozart, Zack,0.328,0.306,0.022
Bourgeois, Jason,0.278,0.257,0.021
Soto, Geovany,0.311,0.318,-0.007
Descalso, Daniel,0.259,0.252,0.007
Collins, Tyler,0.318,0.308,0.01
Campbell, Eric,0.277,0.362,-0.085
Victorino, Shane,0.27,0.272,-0.002
Brown, Domonic,0.28,0.281,-0.001
Nunez, Eduardo,0.328,0.299,0.029
Romine, Andrew,0.276,0.24,0.036
Hanigan, Ryan,0.301,0.286,0.015
Raburn, Ryan,0.397,0.376,0.021
Moore, Tyler,0.262,0.275,-0.013
Garcia, Adonis,0.336,0.349,-0.013
Robinson, Shane,0.275,0.265,0.01
Reimold, Nolan,0.324,0.301,0.023
Conforto, Michael,0.359,0.382,-0.023
Tomlinson, Kelby,0.335,0.305,0.03
Crawford, Carl,0.305,0.344,-0.039
Navarro, Dioner,0.296,0.305,-0.009
Smolinski, Jake,0.284,0.302,-0.018
Carrera, Ezequiel,0.304,0.299,0.005
Gutierrez, Franklin,0.41,0.383,0.027
Santana, Domingo,0.336,0.342,-0.006
Adams, Matt,0.284,0.297,-0.013
Vargas, Kennys,0.275,0.281,-0.006
Morneau, Justin,0.353,0.321,0.032
Hamilton, Josh,0.314,0.314,0
Ross, David,0.22,0.238,-0.018
Young, Delmon,0.275,0.321,-0.046
Bird, Greg,0.372,0.376,-0.004
Wright, David,0.359,0.389,-0.03
Pham, Tommy,0.352,0.355,-0.003
Stewart, Chris,0.29,0.282,0.008
Murphy, John Ryan,0.318,0.32,-0.002
Featherston, Taylor,0.206,0.25,-0.044
Rogers, Jason,0.354,0.331,0.023
Nava, Daniel,0.265,0.316,-0.051
Shuck, JB,0.306,0.269,0.037
Altherr, Aaron,0.353,0.311,0.042
Bethancourt, Christian,0.223,0.25,-0.027
Elmore, Jake,0.241,0.25,-0.009
Gillespie, Cole,0.329,0.291,0.038
Rojas, Miguel,0.303,0.301,0.002
Lobaton, Jose,0.256,0.277,-0.021
Hedges, Austin,0.203,0.22,-0.017
Jones, Garrett,0.269,0.278,-0.009
McKenry, Michael,0.322,0.319,0.003
Ciriaco, Pedro,0.27,0.258,0.012
Cruz, Tony,0.237,0.259,-0.022
Susac, Andrew,0.294,0.281,0.013
Wilson, Bobby,0.23,0.251,-0.021
Lough, David,0.244,0.246,-0.002
Schafer, Logan,0.274,0.27,0.004
Sucre, Jesus,0.189,0.203,-0.014
Uggla, Dan,0.273,0.299,-0.026
Nieuwenhuis, Kirk,0.283,0.285,-0.002
Ruggiano, Justin,0.349,0.39,-0.041
Stubbs, Drew,0.289,0.233,0.056
Crisp, Coco,0.22,0.256,-0.036
Gosewisch, Tuffy,0.242,0.26,-0.018
Buxton, Byron,0.252,0.231,0.021
Thompson, Trayce,0.383,0.383,0
Adrianza, Ehire,0.265,0.278,-0.013
Gomez, Hector,0.231,0.258,-0.027
Perez, Eury,0.284,0.301,-0.017
Sands, Jerry,0.294,0.289,0.005
Herrera, Jonathan,0.245,0.203,0.042
Ynoa, Rafael,0.268,0.231,0.037
Villar, Jonathan,0.328,0.29,0.038
Leon, Sandy,0.199,0.206,-0.007
Rosales, Adam,0.284,0.279,0.005
Gallo, Joey,0.305,0.31,-0.005
Corporan, Carlos,0.242,0.249,-0.007
Butera, Drew,0.229,0.253,-0.024
Mayberry Jr., John,0.24,0.257,-0.017
Colon, Christian,0.311,0.293,0.018
Gosselin, Phil,0.376,0.363,0.013
Montero, Jesus,0.284,0.285,-0.001
Mahtook, Mikie,0.411,0.377,0.034
Johnson, Micah,0.265,0.269,-0.004
Gimenez, Chris,0.353,0.354,-0.001
Herrmann, Chris,0.218,0.205,0.013
Casali, Curt,0.376,0.302,0.074
Seager, Corey,0.421,0.415,0.006
Muncy, Max,0.285,0.274,0.011
Parker, Kyle,0.234,0.258,-0.024
Kozma, Pete,0.18,0.245,-0.065
den Dekker, Matthew,0.343,0.34,0.003
Franklin, Nick,0.228,0.254,-0.026
Jennings, Desmond,0.294,0.297,-0.003
Negron, Kristopher,0.196,0.259,-0.063
Wallace, Brett,0.383,0.382,0.001
Lavarnway, Ryan,0.267,0.316,-0.049
Cabrera, Everth,0.216,0.234,-0.018
Sardinas, Luis,0.203,0.2,0.003
Clevenger, Steve,0.316,0.297,0.019
Alberto, Hanser,0.22,0.211,0.009
Herrera, Dilson,0.298,0.274,0.024
Ryan, Brendan,0.267,0.195,0.072
Mathis, Jeff,0.215,0.24,-0.025
Pompey, Dalton,0.292,0.282,0.01
Parmelee, Chris,0.294,0.259,0.035
Olt, Mike,0.256,0.282,-0.026
Taylor, Chris,0.2,0.27,-0.07
Castro, Daniel,0.264,0.211,0.053
