last_name, first_name,woba,est_woba,est_woba_minus_woba_diff
Machado, Manny,0.37,0.354,0.016
Donaldson, Josh,0.397,0.391,0.006
Dozier, Brian,0.323,0.302,0.021
Rizzo, Anthony,0.384,0.38,0.004
Votto, Joey,0.427,0.421,0.006
Goldschmidt, Paul,0.417,0.4,0.017
Fielder, Prince,0.36,0.349,0.011
Fowler, Dexter,0.333,0.307,0.026
Eaton, Adam,0.346,0.312,0.034
Altuve, Jose,0.347,0.305,0.042
Seager, Kyle,0.334,0.355,-0.021
Markakis, Nick,0.327,0.31,0.017
Calhoun, Kole,0.317,0.311,0.006
McCutchen, Andrew,0.38,0.398,-0.018
Cabrera, Melky,0.306,0.311,-0.005
Blackmon, Charlie,0.345,0.319,0.026
Trout, Mike,0.415,0.423,-0.008
Granderson, Curtis,0.357,0.363,-0.006
Frazier, Todd,0.342,0.335,0.007
Cespedes, Yoenis,0.367,0.377,-0.01
Kinsler, Ian,0.334,0.315,0.019
Cano, Robinson,0.335,0.352,-0.017
Pollock, A.J.,0.371,0.36,0.011
Longoria, Evan,0.326,0.336,-0.01
Davis, Chris,0.39,0.398,-0.008
Abreu, Jose,0.361,0.341,0.02
Hosmer, Eric,0.354,0.366,-0.012
Santana, Carlos,0.33,0.342,-0.012
Mauer, Joe,0.31,0.34,-0.03
Bautista, Jose,0.388,0.384,0.004
Arenado, Nolan,0.371,0.338,0.033
Carpenter, Matt,0.372,0.384,-0.012
Escobar, Alcides,0.27,0.287,-0.017
Pujols, Albert,0.333,0.347,-0.014
Andrus, Elvis,0.292,0.294,-0.002
Martinez, J.D.,0.372,0.388,-0.016
Gardner, Brett,0.327,0.336,-0.009
Cruz, Nelson,0.396,0.379,0.017
Bogaerts, Xander,0.338,0.311,0.027
Betts, Mookie,0.351,0.342,0.009
Harper, Bryce,0.461,0.417,0.044
Choo, Shin-Soo,0.365,0.359,0.006
Gordon, Dee,0.337,0.291,0.046
Polanco, Gregory,0.304,0.319,-0.015
Bryant, Kris,0.371,0.353,0.018
Bruce, Jay,0.309,0.326,-0.017
Kemp, Matt,0.325,0.34,-0.015
Gonzalez, Adrian,0.354,0.365,-0.011
Headley, Chase,0.306,0.325,-0.019
Desmond, Ian,0.294,0.295,-0.001
Kipnis, Jason,0.355,0.358,-0.003
Peralta, Jhonny,0.322,0.331,-0.009
Morales, Kendrys,0.364,0.372,-0.008
Aybar, Erick,0.28,0.303,-0.023
Revere, Ben,0.315,0.307,0.008
Marte, Starling,0.337,0.35,-0.013
Plouffe, Trevor,0.321,0.331,-0.01
Pillar, Kevin,0.31,0.297,0.013
Encarnacion, Edwin,0.391,0.387,0.004
Posey, Buster,0.363,0.374,-0.011
Phillips, Brandon,0.315,0.316,-0.001
Ramirez, Alexei,0.279,0.28,-0.001
Upton, Justin,0.34,0.339,0.001
Rodriguez, Alex,0.361,0.363,-0.002
LeMahieu, DJ,0.327,0.324,0.003
Beltre, Adrian,0.337,0.364,-0.027
Forsythe, Logan,0.349,0.322,0.027
Moustakas, Mike,0.353,0.342,0.011
Ortiz, David,0.379,0.416,-0.037
Wong, Kolten,0.309,0.313,-0.004
Duffy, Matt,0.331,0.336,-0.005
Heyward, Jason,0.345,0.327,0.018
Gonzalez, Carlos,0.363,0.336,0.027
Cain, Lorenzo,0.36,0.37,-0.01
Gattis, Evan,0.317,0.301,0.016
Walker, Neil,0.325,0.317,0.008
Galvis, Freddy,0.283,0.279,0.004
Lawrie, Brett,0.305,0.302,0.003
Butler, Billy,0.311,0.333,-0.022
Garcia, Avisail,0.295,0.32,-0.025
Semien, Marcus,0.311,0.306,0.005
Peterson, Jace,0.287,0.304,-0.017
Brantley, Michael,0.368,0.346,0.022
Castellanos, Nicholas,0.311,0.322,-0.011
Escobar, Yunel,0.348,0.344,0.004
Parra, Gerardo,0.334,0.32,0.014
Pederson, Joc,0.335,0.345,-0.01
Segura, Jean,0.268,0.267,0.001
Simmons, Andrelton,0.29,0.31,-0.02
Reddick, Josh,0.338,0.337,0.001
Jones, Adam,0.334,0.347,-0.013
Castro, Starlin,0.288,0.287,0.001
Gregorius, Didi,0.303,0.292,0.011
Lind, Adam,0.35,0.326,0.024
Solarte, Yangervis,0.324,0.301,0.023
Braun, Ryan,0.366,0.379,-0.013
Hunter, Torii,0.304,0.291,0.013
