last_name, first_name,year,on_base_plus_slg,woba,xwoba,wobadif
Beltran, Carlos,2017,0.666,0.283,0.298,-0.015
Pujols, Albert,2017,0.672,0.286,0.323,-0.037
Mauer, Joe,2017,0.801,0.349,0.375,-0.026
Cabrera, Miguel,2017,0.728,0.313,0.378,-0.065
Phillips, Brandon,2017,0.734,0.316,0.307,0.009
Reyes, Jose,2017,0.725,0.312,0.297,0.015
Choo, Shin-Soo,2017,0.778,0.339,0.375,-0.036
Molina, Yadier,2017,0.75,0.316,0.338,-0.022
Cano, Robinson,2017,0.791,0.334,0.366,-0.032
Encarnacion, Edwin,2017,0.88,0.373,0.393,-0.02
Bautista, Jose,2017,0.674,0.295,0.309,-0.014
Jones, Adam,2017,0.787,0.334,0.324,0.01
Granderson, Curtis,2017,0.775,0.33,0.344,-0.014
Ramirez, Hanley,2017,0.75,0.318,0.355,-0.037
Morales, Kendrys,2017,0.753,0.32,0.357,-0.037
Kinsler, Ian,2017,0.725,0.313,0.336,-0.023
Cruz, Nelson,2017,0.924,0.385,0.411,-0.026
Trumbo, Mark,2017,0.686,0.295,0.301,-0.006
Peralta, David,2017,0.796,0.342,0.322,0.02
Escobar, Alcides,2017,0.626,0.269,0.28,-0.011
Longoria, Evan,2017,0.737,0.313,0.315,-0.002
Cozart, Zack,2017,0.933,0.392,0.336,0.056
Reynolds, Mark,2017,0.839,0.358,0.321,0.037
Davis, Chris,2017,0.732,0.312,0.332,-0.02
Headley, Chase,2017,0.758,0.329,0.327,0.002
Pence, Hunter,2017,0.701,0.303,0.331,-0.028
Span, Denard,2017,0.755,0.325,0.331,-0.006
Cabrera, Asdrubal,2017,0.784,0.338,0.338,0
Blackmon, Charlie,2017,0.998,0.415,0.378,0.037
Frazier, Todd,2017,0.772,0.335,0.363,-0.028
Markakis, Nick,2017,0.738,0.321,0.327,-0.006
Cain, Lorenzo,2017,0.803,0.347,0.358,-0.011
McCutchen, Andrew,2017,0.849,0.36,0.371,-0.011
Upton, Justin,2017,0.901,0.378,0.364,0.014
Turner, Justin,2017,0.944,0.4,0.407,-0.007
Posey, Buster,2017,0.861,0.366,0.355,0.011
Bruce, Jay,2017,0.832,0.35,0.364,-0.014
Votto, Joey,2017,1.032,0.428,0.427,0.001
Gardner, Brett,2017,0.775,0.336,0.344,-0.008
Joyce, Matt,2017,0.808,0.343,0.358,-0.015
Gordon, Alex,2017,0.607,0.269,0.3,-0.031
Andrus, Elvis,2017,0.808,0.344,0.315,0.029
Cabrera, Melky,2017,0.745,0.319,0.341,-0.022
Santana, Carlos,2017,0.818,0.35,0.364,-0.014
Gonzalez, Carlos,2017,0.762,0.327,0.313,0.014
Mercer, Jordy,2017,0.733,0.308,0.311,-0.003
Alonso, Yonder,2017,0.866,0.366,0.37,-0.004
Smoak, Justin,2017,0.883,0.371,0.393,-0.022
Zimmerman, Ryan,2017,0.93,0.388,0.388,0
Lowrie, Jed,2017,0.808,0.347,0.372,-0.025
Morrison, Logan,2017,0.868,0.363,0.372,-0.009
Gurriel, Yuli,2017,0.817,0.345,0.333,0.012
Solarte, Yangervis,2017,0.731,0.311,0.307,0.004
Freese, David,2017,0.739,0.326,0.344,-0.018
Davis, Khris,2017,0.864,0.361,0.395,-0.034
Pham, Tommy,2017,0.93,0.398,0.39,0.008
Reddick, Josh,2017,0.842,0.357,0.348,0.009
Murphy, Daniel,2017,0.928,0.385,0.367,0.018
Goldschmidt, Paul,2017,0.966,0.4,0.404,-0.004
Gonzalez, Marwin,2017,0.904,0.381,0.333,0.048
Altuve, Jose,2017,0.957,0.405,0.376,0.029
Hernandez, Cesar,2017,0.793,0.346,0.348,-0.002
Segura, Jean,2017,0.776,0.334,0.327,0.007
Freeman, Freddie,2017,0.989,0.407,0.409,-0.002
LeMahieu, DJ,2017,0.781,0.342,0.349,-0.007
Moreland, Mitch,2017,0.769,0.326,0.374,-0.048
Moustakas, Mike,2017,0.835,0.345,0.341,0.004
Rizzo, Anthony,2017,0.899,0.38,0.394,-0.014
Souza Jr., Steven,2017,0.809,0.348,0.351,-0.003
Stanton, Giancarlo,2017,1.007,0.411,0.401,0.01
Thames, Eric,2017,0.877,0.37,0.343,0.027
Galvis, Freddy,2017,0.689,0.298,0.305,-0.007
Garcia, Avisail,2017,0.885,0.375,0.378,-0.003
Inciarte, Ender,2017,0.758,0.328,0.297,0.031
Ozuna, Marcell,2017,0.924,0.388,0.372,0.016
Beckham, Tim,2017,0.781,0.334,0.334,0
Crawford, Brandon,2017,0.709,0.301,0.31,-0.009
Harrison, Josh,2017,0.77,0.332,0.324,0.008
Hosmer, Eric,2017,0.882,0.376,0.364,0.012
Rendon, Anthony,2017,0.937,0.394,0.382,0.012
Shaw, Travis,2017,0.861,0.361,0.333,0.028
Springer, George,2017,0.888,0.376,0.393,-0.017
Gordon, Dee,2017,0.715,0.312,0.287,0.025
Gregorius, Didi,2017,0.795,0.335,0.298,0.037
Trout, Mike,2017,1.071,0.437,0.43,0.007
Herrera, Odubel,2017,0.778,0.329,0.319,0.01
Abreu, Jose,2017,0.906,0.377,0.371,0.006
Suarez, Eugenio,2017,0.828,0.356,0.358,-0.002
Santana, Domingo,2017,0.875,0.372,0.369,0.003
Sanchez, Yolmer,2017,0.728,0.313,0.292,0.021
