last_name, first_name,year,on_base_plus_slg,woba,xwoba,wobadif
Pujols, Albert,2019,0.734,0.308,0.319,-0.011
Cabrera, Miguel,2019,0.744,0.318,0.332,-0.014
Choo, Shin-Soo,2019,0.826,0.353,0.356,-0.003
Encarnacion, Edwin,2019,0.875,0.362,0.36,0.002
Jones, Adam,2019,0.727,0.308,0.313,-0.005
Desmond, Ian,2019,0.788,0.328,0.335,-0.007
Cruz, Nelson,2019,1.03,0.418,0.419,-0.001
Longoria, Evan,2019,0.762,0.322,0.352,-0.03
Fowler, Dexter,2019,0.754,0.326,0.338,-0.012
Cabrera, Asdrubal,2019,0.783,0.331,0.318,0.013
Blackmon, Charlie,2019,0.94,0.387,0.362,0.025
Frazier, Todd,2019,0.772,0.328,0.315,0.013
Cain, Lorenzo,2019,0.696,0.302,0.33,-0.028
Turner, Justin,2019,0.881,0.37,0.378,-0.008
Votto, Joey,2019,0.768,0.332,0.343,-0.011
Gardner, Brett,2019,0.829,0.344,0.301,0.043
Braun, Ryan,2019,0.846,0.354,0.342,0.012
Gordon, Alex,2019,0.74,0.319,0.332,-0.013
Andrus, Elvis,2019,0.707,0.3,0.307,-0.007
Ramos, Wilson,2019,0.768,0.327,0.311,0.016
Santana, Carlos,2019,0.911,0.38,0.367,0.013
Belt, Brandon,2019,0.742,0.319,0.346,-0.027
Smoak, Justin,2019,0.748,0.323,0.366,-0.043
Brantley, Michael,2019,0.875,0.367,0.362,0.005
Gurriel, Yuli,2019,0.884,0.364,0.322,0.042
Rojas, Miguel,2019,0.71,0.305,0.303,0.002
Escobar, Eduardo,2019,0.831,0.341,0.327,0.014
Davis, Khris,2019,0.679,0.289,0.318,-0.029
Pham, Tommy,2019,0.818,0.349,0.357,-0.008
Martinez, J.D.,2019,0.939,0.386,0.4,-0.014
Reddick, Josh,2019,0.726,0.308,0.313,-0.005
Murphy, Daniel,2019,0.778,0.328,0.29,0.038
Goldschmidt, Paul,2019,0.82,0.346,0.361,-0.015
Altuve, Jose,2019,0.902,0.374,0.35,0.024
Hernandez, Cesar,2019,0.741,0.315,0.303,0.012
Segura, Jean,2019,0.742,0.315,0.314,0.001
Castro, Starlin,2019,0.736,0.307,0.31,-0.003
Marte, Starling,2019,0.844,0.353,0.361,-0.008
Donaldson, Josh,2019,0.9,0.377,0.387,-0.01
Freeman, Freddie,2019,0.938,0.387,0.394,-0.007
Grandal, Yasmani,2019,0.848,0.361,0.363,-0.002
Heyward, Jason,2019,0.772,0.328,0.333,-0.005
LeMahieu, DJ,2019,0.892,0.375,0.379,-0.004
Moustakas, Mike,2019,0.845,0.348,0.349,-0.001
Rizzo, Anthony,2019,0.924,0.39,0.39,0
Galvis, Freddy,2019,0.733,0.308,0.28,0.028
Garcia, Avisail,2019,0.796,0.334,0.342,-0.008
Ozuna, Marcell,2019,0.8,0.336,0.382,-0.046
Villar, Jonathan,2019,0.791,0.335,0.313,0.022
Santana, Danny,2019,0.857,0.352,0.338,0.014
Crawford, Brandon,2019,0.654,0.281,0.306,-0.025
Cron, C.J.,2019,0.78,0.324,0.366,-0.042
Grossman, Robbie,2019,0.682,0.299,0.324,-0.025
Hosmer, Eric,2019,0.735,0.309,0.308,0.001
Kipnis, Jason,2019,0.712,0.301,0.316,-0.015
McCann, James,2019,0.788,0.333,0.321,0.012
Rendon, Anthony,2019,1.01,0.413,0.418,-0.005
Semien, Marcus,2019,0.892,0.373,0.362,0.011
Springer, George,2019,0.974,0.401,0.398,0.003
Vazquez, Christian,2019,0.796,0.331,0.316,0.015
Wong, Kolten,2019,0.78,0.334,0.308,0.026
Garcia, Leury,2019,0.682,0.295,0.274,0.021
Grichuk, Randal,2019,0.738,0.307,0.301,0.006
Trout, Mike,2019,1.083,0.436,0.455,-0.019
